Accession	Female_Parent	Male_Parent	Cross_Type
1-52			
58308			
71173			
71693			
81983			
AHOADAI			
BRANCA DE SANTA CATARINA			
CM6119-5			
CM6921-3			
CM7462-10			
CM8213A-1			
CM8281B-20			
CM8699-6			
CM8710-1			
FBA-3			
FECULA			
GARI			
I8600006			
I8800158			
I930320			
I950561			
I974045			
ICB5-10(80411)			
IITA-TMS-BAD9200061	TMEB1	IITA-TMS-IBA91934	
IITA-TMS-BAD9200068			
IITA-TMS-IBA000017			
IITA-TMS-IBA000070			
IITA-TMS-IBA000203			
IITA-TMS-IBA000211			
IITA-TMS-IBA000214			
IITA-TMS-IBA000338			
IITA-TMS-IBA000345			
IITA-TMS-IBA000350			
IITA-TMS-IBA000355			
IITA-TMS-IBA010046	IITA-TMS-IBA920326	CM8710-1	
IITA-TMS-IBA010085	IITA-TMS-IBA970270	SM1651-23	
IITA-TMS-IBA010090	IITA-TMS-IBA970299	CM7462-10	
IITA-TMS-IBA010103	IITA-TMS-IBA940239	SM1883-5	
IITA-TMS-IBA010131	IITA-TMS-IBA940006	CM8281B-20	
IITA-TMS-IBA010903			
IITA-TMS-IBA011086	IITA-TMS-IBA950967	IITA-TMS-IBA950925	
IITA-TMS-IBA011115	IITA-TMS-IBA950379	IITA-TMS-IBA960590	
IITA-TMS-IBA011181	IITA-TMS-IBA940263	IITA-TMS-IBA950313	
IITA-TMS-IBA011224	IITA-TMS-IBA9001554	IITA-TMS-IBA960035	
IITA-TMS-IBA011235	IITA-TMS-IBA930098	I950561	
IITA-TMS-IBA011273			
IITA-TMS-IBA011277	IITA-TMS-IBA950379	IITA-TMS-IBA940263	
IITA-TMS-IBA011335	IITA-TMS-IBA950967	71693	
IITA-TMS-IBA011368	IITA-TMS-IBA940561	IITA-TMS-IBA940263	
IITA-TMS-IBA011371	IITA-TMS-IBA940561	IITA-TMS-IBA940263	
IITA-TMS-IBA011412	IITA-TMS-IBA950971	IITA-TMS-IBA940561	
IITA-TMS-IBA011413	IITA-TMS-IBA950971	IITA-TMS-IBA940561	
IITA-TMS-IBA011442	IITA-TMS-IBA950379	IITA-TMS-IBA940330	
IITA-TMS-IBA011560	IITA-TMS-IBA8902195	IITA-TMS-IBA950925	
IITA-TMS-IBA011610	IITA-TMS-IBA930184	IITA-TMS-IBA940330	
IITA-TMS-IBA011646	IITA-TMS-IBA8902195	IITA-TMS-IBA940330	
IITA-TMS-IBA011649	IITA-TMS-IBA8902195	IITA-TMS-IBA940330	
IITA-TMS-IBA011659	IITA-TMS-IBA8902195	IITA-TMS-IBA950379	
IITA-TMS-IBA011662	IITA-TMS-IBA8902195	IITA-TMS-IBA950379	
IITA-TMS-IBA011663	IITA-TMS-IBA8902195	IITA-TMS-IBA950379	
IITA-TMS-IBA011797	IITA-TMS-IBA950379	TMEB117	
IITA-TMS-IBA011807	TMEB9	IITA-TMS-IBA91934	
IITA-TMS-IBA020009			
IITA-TMS-IBA020129			
IITA-TMS-IBA020131			
IITA-TMS-IBA020233			
IITA-TMS-IBA020285			
IITA-TMS-IBA020289			
IITA-TMS-IBA020431			
IITA-TMS-IBA020540			
IITA-TMS-IBA030006			
IITA-TMS-IBA030007			
IITA-TMS-IBA030055A			
IITA-TMS-IBA030060			
IITA-TMS-IBA030060A			
IITA-TMS-IBA030060B			
IITA-TMS-IBA030075			
IITA-TMS-IBA030299			
IITA-TMS-IBA030903			
IITA-TMS-IBA050151			
IITA-TMS-IBA050227			
IITA-TMS-IBA050237			
IITA-TMS-IBA050314			
IITA-TMS-IBA051351			
IITA-TMS-IBA051553	IITA-TMS-IBA961089A		
IITA-TMS-IBA051640			
IITA-TMS-IBA051740	IITA-TMS-IBA950967		
IITA-TMS-IBA051743			
IITA-TMS-IBA063046			
IITA-TMS-IBA070004	IITA-TMS-IBA30555	IITA-TMS-IBA9102316	
IITA-TMS-IBA070025			
IITA-TMS-IBA070126			
IITA-TMS-IBA070258	IITA-TMS-IBA961632		
IITA-TMS-IBA070425			
IITA-TMS-IBA071313			
IITA-TMS-IBA071378			
IITA-TMS-IBA102221			
IITA-TMS-IBA30555			
IITA-TMS-IBA30572	58308	BRANCA DE SANTA CATARINA	
IITA-TMS-IBA60447			
IITA-TMS-IBA8900914			
IITA-TMS-IBA8902195			
IITA-TMS-IBA9001554	IITA-TMS-IBA30572	1-52	
IITA-TMS-IBA9100072			
IITA-TMS-IBA9100455			
IITA-TMS-IBA9101682			
IITA-TMS-IBA9102140			
IITA-TMS-IBA9102316			
IITA-TMS-IBA9102325			
IITA-TMS-IBA91934			
IITA-TMS-IBA920326			
IITA-TMS-IBA920429			
IITA-TMS-IBA930002			
IITA-TMS-IBA930007			
IITA-TMS-IBA930098			
IITA-TMS-IBA930134			
IITA-TMS-IBA930151			
IITA-TMS-IBA930265			
IITA-TMS-IBA9400006			
IITA-TMS-IBA940006	IS9102322		
IITA-TMS-IBA940018			
IITA-TMS-IBA940020			
IITA-TMS-IBA940237			
IITA-TMS-IBA940239			
