Accession	Female_Parent	Male_Parent
IITA-TMS-IBA30572	58308	BRANCA DE SANTA CATARINA
TMS13F1303P0006	IITA-TMS-IBA030060	IITA-TMS-MOK940583
TMS14F1169P0001	TMS13F1212P0002	TMS13F1106P0006
TMS14F1284P0001	IITA-TMS-IBA070258	IITA-TMS-IBA930151
TMS13F1245P0011	IITA-TMS-BAD9200068	IITA-TMS-IBA000211
TMS13F1333P0017	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS14F1122P0004	TMS13F1332P0042	TMS13F1333P0003
TMS13F1303P0002	IITA-TMS-IBA030060	IITA-TMS-MOK940583
TMS13F1343P0038	IITA-TMS-IBA970425	IITA-TMS-IBA930007
TMS13F1153P0002	IITA-TMS-IBA993073	IITA-TMS-IBA940006
TMS14F1166P0002	TMS13F1216P0026	TMS13F1154P0010
TMS14F1295P0005	IITA-TMS-IBA930265	IITA-TMS-IBA030055A
TMS14F1301P0002	IITA-TMS-IBA020431	IITA-TMS-IBA030055A
IITA-TMS-IBA060889	IITA-TMS-IBA011371	IITA-TMS-IBA011371
TMS13F1053P0002	IITA-TMS-IBA972205	IITA-TMS-IBA930007
TMS13F1324P0002	IITA-TMS-MOK940583	IITA-TMS-IBA010046
TMS14F1283P0004	IITA-TMS-IBA070258	IITA-TMS-IBA960963
TMS13F1113P0002	IITA-TMS-IBA070126	IITA-TMS-IBA000350
TMS14F1024P0007	TMS13F1020P0002	TMS13F1307P0008
TMS13F1153P0010	IITA-TMS-IBA993073	IITA-TMS-IBA940006
TMS14F1079P0002	TMS13F1153P0011	TMS13F1212P0055
TMS14F1154P0004	TMS13F1212P0032	TMS13F1154P0010
TMS14F1306P0013	IITA-TMS-IBA030060	IITA-TMS-MM970043
TMS13F1006P0027	IITA-TMS-MM960583	IITA-TMS-MOK980068
TMS13F1154P0005	IITA-TMS-IBA993073	IITA-TMS-IBA970425
TMS13F1332P0027	IITA-TMS-IBA940237	IITA-TMS-IBA970290
TMS14F1136P0003	TMS13F1145P0011	TMS13F1008P0006
TMS14F1176P0002	TMS13F1212P0055	TMS13F1333P0003
TMS13F1241P0016	IITA-TMS-BAD9200068	IITA-TMS-IBA940006
TMS14F1017P0007	TMS13F1307P0020	TMS13F1108P0007
TMS13F1079P0007	IITA-TMS-IBA020131	IITA-TMS-ZAR930151
TMS13F1333P0014	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS13F1064P0025	IITA-TMS-IBA980505	IITA-TMS-IBA980510
TMS13F1107P0006	IITA-TMS-IBA070004	IITA-TMS-IBA010046
TMS14F1154P0002	TMS13F1212P0032	TMS13F1154P0010
TMS13F1307P0020	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS13F1436P0004	IITA-TMS-IBA980002	IITA-TMS-IBA010046
TMS14F1298P0005	IITA-TMS-IBA993073	IITA-TMS-MM970043
TMS13F1420P0006	IITA-TMS-IBA930007	IITA-TMS-MM970806
TMS13F1212P0072	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1034P0004	IITA-TMS-IBA960860	IITA-TMS-IBA930007
IITA-TMS-IBA051814	IITA-TMS-IBA940561	TMEB419
TMS13F1307P0007	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS14F1241P0002	TMS13F1333P0002	TMS13F1212P0032
TMS14F1256P0001	TMS13F1107P0008	TMS13F1059P0006
TMS14F1205P0003	TMS13F1333P0003	TMS13F1307P0020
TMS14F1306P0001	IITA-TMS-IBA030060	IITA-TMS-MM970043
